Part Number,Description,Manufacturer,Package,Designator,Quantity,Price (USD),Real Price (USD),URL
STM32WB55CCU6,STM32 Microcontroller,ST Microelectronics,48-UFQFPN,U1,1,$6.49 ,$6.49 ,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32WB55CCU6/10326848
8Q-32.000MEEV-T,32MHz Crystal,TXC Corporation,4-SMD,Y2,10,$0.78 ,$7.73 ,https://www.digikey.com/en/products/detail/txc-corporation/8Q-32-000MEEV-T/3597960
MU00527-32.768K,32.768 kHz Crystal,NDK,2-SMD,Y1,10,$0.71 ,$7.10 ,https://www.digikey.com/en/products/detail/ndk-nihon-dempa-kogyo-co-ltd/MU00527-32-768K/9172008
GRM1555C1HR80BA01D,0.8pF Capacitor,Murata Electronics,0-402,C18,50,$0.03 ,$1.62 ,https://www.digikey.com/en/products/detail/murata-electronics/GRM1555C1HR80BA01D/3694062
GRM1555C1HR30WA01D,0.3pF Capacitor,Murata Electronics,0-402,C6,50,$0.07 ,$3.25 ,https://www.digikey.com/en/products/detail/murata-electronics/GRM1555C1HR30WA01D/3694052
LQG15HS2N7S02D,2.7nH Inductor,Murata Electronics,0-402,L4,100,$0.03 ,$3.00 ,https://www.digikey.com/en/products/detail/murata-electronics/LQG15HS2N7S02D/662864
DLF162500LT-5028A1,2.4GHz LPF,TDK Corporation,0-603,U2,10,$0.38 ,$3.83 ,https://www.digikey.com/en/products/detail/tdk-corporation/DLF162500LT-5028A1/4321991?gclsrc=aw.ds&gad_source=1&gad_campaignid=120565755&gclid=Cj0KCQiA18DMBhDeARIsABtYwT21K0C2PsSIz0RjH-UoTo9VzyZc91piJSIQ9kglIK8JwhZIPrB2wREaAnT8EALw_wcB
AMCA31-2R450G-S1F-T3,2.4GHz RF Antenna,AMCA,N/A,E1,10,$0.23 ,$2.32 ,https://www.digikey.com/en/products/detail/abracon-llc/AMCA31-2R450G-S1F-T3/4494340
B5B-XH-A,5 pin SWD header,JST Sales America,N/A,J1,10,$0.15 ,$1.44 ,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B5B-XH-A/1530483
0-740990003,3 pin MOLEX male,MOLEX,N/A,J3,1,$3.40 ,$3.40 ,https://www.digikey.com/en/products/detail/molex/0740990003/2002002
UJ20-C-H-G-SMT-1-P16-TR,USB Type-C header,Same Sky,N/A,J2,10,$0.39 ,$3.92 ,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/UJ20-C-H-G-SMT-1-P16-TR/24818576
CP2102-GMR,USB-UART Bridge,Silicon Labs,28-VFQFN,U3,1,$8.88 ,$8.88 ,https://www.digikey.com/en/products/detail/silicon-labs/CP2102-GMR/2051863
MCP73831T-2ACI/OT,Battery Charger IC,Microchip Technologies,SOT-753,U4,5,$0.76 ,$3.80 ,https://www.digikey.com/en/products/detail/microchip-technology/MCP73831T-2ACI-OT/964301?gclsrc=aw.ds&gad_source=1&gad_campaignid=120565755&gclid=CjwKCAiAtLvMBhB_EiwA1u6_Pl3uEVUPU_-CJe958tb18LKPIiN3x5rXwCNlApv5YliU8LNBep8KqxoCFOoQAvD_BwE
TLV75533PDRVR,3.3V Voltage Regulator,Texas Instruments,6-WDFN,VR1,10,$0.27 ,$2.70 ,https://www.digikey.com/en/products/detail/texas-instruments/TLV75533PDRVR/9649792
SMAJ5.0A,5A TVS Diode,Littlefuse Inc.,DO-214AC SMA,CR21,10,$0.17 ,$1.72 ,https://www.digikey.com/en/products/detail/littelfuse-inc/SMAJ5-0A/762250
BAT54KFILM,EDS Protection Diode,ST Microelectronics,SOD-523,C10,10,$0.14 ,$1.40 ,https://www.digikey.com/en/products/detail/stmicroelectronics/BAT54KFILM/1207028
TPD2EUSB30DRTR,TVS Diode,Texas Instruments,SOT-3,D2,10,$0.60 ,$6.00 ,https://www.digikey.com/en/products/detail/texas-instruments/TPD2EUSB30DRTR/2193486
PNM0402E5001BST1,5k resistor,Vishay Dale Thin Film,0-402,R6,10,$0.68 ,$6.84 ,https://www.digikey.com/en/products/detail/vishay-dale-thin-film/PNM0402E5001BST1/4341869
CRCW04021K00FKED,1k resistor,Vishay Dale  ,0-402,R7,50,$0.02 ,$1.00 ,https://www.digikey.com/en/products/detail/vishay-dale/CRCW04021K00FKED/1178007
JMK105BJ105KV-F,1u capacitor,Taiyo Yuden,0-402,C17,100,$0.01 ,$1.00 ,https://www.digikey.com/en/products/detail/taiyo-yuden/JMK105BJ105KV-F/930583
GRM155R71H102KA01D,1n capacitor,Murata Electronics,0-402,C18,100,$0.06 ,$6.00 ,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R71H102KA01D/587225
CL05A104KA5NNNC,0.1u capacitor,Samsung Electro-Mechanics,0-402,C19,100,$0.02 ,$2.00 ,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701
BL0750F5030481S1PCTC,Li-Po Battery Pack,GlobTek.Inc,N/A,N/A,1,$9.00 ,$9.00 ,https://www.digikey.com/en/products/detail/globtek-inc/BL0750F5030481S1PCTC/16515787?s=N4IgjCBcoMw1oDGUBmBDANgZwKYBoQB7KAbRACYB2cgThogF0CAHAFyhAGVWAnASwB2AcxABfAgBYw5BCGSR02fEVIgYANgCsMMAAYQTEGw7d%2BwsaNFA
STLINK-V2STM32,STM32 Programmer,STMicroelectronics,N/A,N/A,1,$14.95 ,$14.95 ,https://www.adafruit.com/product/2548?srsltid=AfmBOorXwQx9iVTZsEP8uf4AYCl_JbDZXZy79AJ8Yxj8BQgtWXAvMcpd
CRCW040222R0FKED,22 ohm resistor,Vishay Dale,0-402,R8,100,$0.01 ,$1.48 ,https://www.digikey.com/en/products/detail/vishay-dale/CRCW040222R0FKED/1177815
CRCW04025K10FKED,5.1k ohm resistor,Vishay Dale,0-402,R5,100,$0.01 ,$1.48 ,https://www.digikey.com/en/products/detail/vishay-dale/CRCW04025K10FKED/1178087
CC0402FRNPO9BN220,22p Capacitor,YAGEO,0-402,C5,100,$0.03 ,$3.00 ,https://www.digikey.com/en/products/detail/yageo/CC0402FRNPO9BN220/5883236
,,,,,,,,
Totals (USD) exc. Shipping,,,,,,,$47.56 ,
Totals w/out Programmer (USD) exc. Shipping,,,,,,,$35.30 ,
